	Query	Start_SPAligner	End_SPAligner	Path_SPAligner	Start_GraphAligner	End_GraphAligner	Path_GraphAligner	SPAlignerVSGraphAligner
70	gb|EU746499.1|+|639-1437|ARO:3002613|aadA13	920	242	798	920	1717	31770840, 66940499, 66940495, 8153423, 31582859	Different
71	gb|EU748544|+|0-927|ARO:3002366|PER-4	1454	2325	927	1454	2380	5606345	Different
72	gb|EU850412|+|2269-3166|ARO:3002249|CARB-10	146	960	897	146	1042	267426, 63777837	Different
73	gb|FJ381668|+|56-848|ARO:3002612|aadA12	1	360	792	11	802	31689609, 31674241, 385047	Different
74	gb|FJ617207|+|0-828|ARO:3001800|OXA-226	71	740	828	71	898	32571183, 5674312	Different
75	gb|FJ790516|+|1287-2085|ARO:3001804|OXA-145	1	626	798	72	872	32592258, 758212	Different
76	gb|FJ820124|+|1123-1987|ARO:3002339|GES-10	93	901	864	93	956	32422725	Different
77	gb|FJ848783|+|1270-2071|ARO:3001801|OXA-147	1	626	801	72	872	32592258, 758212	Different
78	gb|FJ854362|+|701-1565|ARO:3002340|GES-11	93	901	864	93	956	32422725	Different
79	gb|FN554543|+|0-864|ARO:3002341|GES-12	93	901	864	93	956	32422725	Different
80	gb|GQ202693|+|1171-1999|ARO:3001799|OXA-161	71	740	828	71	898	32571183, 5674312	Different
81	gb|GQ342996|+|797-1793|ARO:3003097|CfxA6	1	911	996	27	1022	32071353, 26004826, 280008	Different
82	gb|GQ891757|+|2004-2661|ARO:3002801|QnrVC4	266	867	657	266	922	80949639	Different
83	gb|GU169702|+|608-1472|ARO:3002342|GES-13	93	901	864	93	956	32422725	Different
84	gb|GU207844|+|0-864|ARO:3002343|GES-14	93	901	864	93	956	32422725	Different
85	gb|GU208678|+|0-864|ARO:3002344|GES-15	93	901	864	93	956	32422725	Different
86	gb|GU831575|+|0-843|ARO:3001662|OXA-164	73	860	843	73	915	32026252	Different
87	gb|HE616889|+|1826-2627|ARO:3001502|OXA-256	1	626	801	8	808	26012357, 758212	Different
88	gb|HF953351|-|2461-3358|ARO:3002255|CARB-16	146	960	897	146	1042	267426, 63777837	Different
89	gb|HM173356|+|511-1375|ARO:3002345|GES-16	93	901	864	93	956	32422725	Different
90	gb|HQ111474|+|1056-1857|ARO:3001475|OXA-183	1	626	801	72	872	32592258, 758212	Different
91	gb|HQ874631|+|0-864|ARO:3002346|GES-17	93	901	864	93	956	32422725	Different
92	gb|JCMW02000002.1|-|55721-56522|ARO:3004489|OXA-663	1	626	801	8	808	26012357, 758212	Different
93	gb|JF795487|+|0-828|ARO:3001487|OXA-210	71	740	828	71	898	32571183, 5674312	Different
94	gb|JF800667|+|657-1458|ARO:3001483|OXA-205	19	579	801	19	819	2556907, 1160229, 25425969	Different
95	gb|JF969163|+|1053-1893|ARO:3000410|sul1	404	1188	840	404	1243	31214328	Different
96	gb|JN118546|+|1761-2562|ARO:3001500|OXA-251	1	626	801	8	808	26012357, 758212	Different
97	gb|JN596280|+|1918-2782|ARO:3002348|GES-19	93	901	864	93	956	32422725	Different
98	gb|JN596280|+|2847-3711|ARO:3002349|GES-20	93	901	864	93	956	32422725	Different
99	gb|JQ028729|+|0-864|ARO:3002347|GES-18	93	901	864	93	956	32422725	Different
100	gb|JQ364968|+|3332-4229|ARO:3002252|CARB-14	146	958	897	146	1042	267426, 63777837	Different
101	gb|JQ772478|+|140-1004|ARO:3002350|GES-21	93	901	864	93	956	32422725	Different
102	gb|JQ808129|+|633-1188|ARO:3002546|AAC(6')-Ib	26	525	555	26	580	2728545	Different
103	gb|JX023441|+|37-901|ARO:3002351|GES-22	93	901	864	93	956	32422725	Different
104	gb|JX089628|+|0-801|ARO:3001499|OXA-240	1	626	801	8	808	26012357, 758212	Different
105	gb|JX101693.1|+|58200-58833|ARO:3002676|catB3	86	663	633	86	718	31534610	Different
106	gb|KC170992.1|+|8362-9142|ARO:3003687|APH(3')-VI	180	716	780	180	959	6903442, 506744	Different
107	gb|KF711993|+|0-801|ARO:3001807|OXA-246	1	626	801	8	808	26012357, 758212	Different
108	gb|KF921535.1|+|617-1091|ARO:3002859|dfrA14	71	489	474	71	544	85537095	Different
109	gb|KJ420612.1|+|1821-2622|ARO:3001409|OXA-14	1	626	801	8	808	26012357, 758212	Different
110	gb|KJ657570|+|0-801|ARO:3001495|OXA-233	1	626	801	8	808	26012357, 758212	Different
111	gb|KJ865754|+|0-828|ARO:3001606|OXA-415	71	740	828	71	898	32571183, 5674312	Different
112	gb|KP096411|+|0-864|ARO:3003181|GES-26	93	901	864	93	956	32422725	Different
113	gb|KP265721.1|+|331-1558|ARO:3004608|EreD	161	1332	1227	161	1387	1761822	Different
114	gb|KR091911.1|-|74564-75350|ARO:3002578|AAC(6')-Ib7	1	525	786	57	842	4502681, 31214326, 15299651, 22715649, 50555643, 32286601, 24065316, 3274129, 60915537, 2728545	Different
115	gb|KT736121.1|+|1176-1977|ARO:3001555|OXA-368	1	626	801	8	808	26012357, 758212	Different
116	gb|L09246|+|543-981|ARO:3002554|AAC(6')-Ig	1	366	438	1	421	34689	Different
117	gb|L42817|+|201-936|ARO:3000522|ErmG	82	761	735	82	816	2101349	Different
118	gb|LC037981|+|0-801|ARO:3003610|OXA-454	1	626	801	8	808	26012357, 758212	Different
119	gb|LN873256.1|-|3238-4027|ARO:3004682|aadA27	172	797	789	172	960	96908, 293994	Different
120	gb|M17124|+|1181-1982|ARO:3000498|ErmF	3	748	801	3	803	26006141	Different
121	gb|M18896.2|+|206-2126|ARO:3000190|tetO	254	696	1920	254	2173	4147608, 3205126, 17316950	Different
122	gb|M35190.1|+|308-932|ARO:3004454|Campylobacter_coli_chloramphenicol_acetyltransferase	102	649	624	102	708	7014724	Different
123	gb|M37699|+|585-1752|ARO:3000205|tetX	643	1754	1167	643	1809	5620851	Different
124	gb|M55620|+|0-660|ARO:3002687|catQ	393	997	660	393	1052	5986788	Different
125	gb|M72415.1|+|1120-1984|ARO:3004683|aadS	1	781	864	3254	4117	18574655, 224504	Different
126	gb|M95287.4|+|2455-3283|ARO:3001397|OXA-2	71	740	828	71	898	32571183, 5674312	Different
127	gb|NC_008618.1|-|1667063-1670624|ARO:3004480|Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin	2940	6445	3561	2940	6500	5663829	Different
128	gb|U00096.3|-|3203309-3204131|ARO:3002986|bacA	1167	1931	822	1167	1988	840686	Different
129	gb|U00096.3|-|721055-721733|ARO:3003841|kdpE	98	720	678	98	775	31522874	Different
130	gb|U00096|+|2367070-2368039|ARO:3003578|pmrF	360	1273	969	360	1328	459768	Different
131	gb|U12338|+|5055-5520|ARO:3002528|AAC(3)-Ia	71	480	465	71	535	402256	Different
132	gb|U59183|+|247-859|ARO:3002581|AAC(6')-Ib10	1	525	612	14	627	24065316, 3274129, 60915537, 2728545	Different
133	gb|U59183|+|939-1740|ARO:3001408|OXA-13	1	626	801	72	872	32592258, 758212	Different
134	gb|U63835|+|127-955|ARO:3001410|OXA-15	71	740	828	71	898	32571183, 5674312	Different
135	gb|X02340.1|+|222-1194|ARO:3004089|ANT(3'')-IIa	1	380	972	3	967	31214326, 15299651, 77161691, 15936737, 31689609, 31674241, 385047	Different
136	gb|X07753|+|102-882|ARO:3002652|APH(3')-VIa	180	716	780	180	959	6903442, 506744	Different
137	gb|X13543.1|+|185-1046|ARO:3002533|AAC(3)-IIa	130	935	861	130	990	605844	Different
138	gb|X75562|+|134-935|ARO:3001402|OXA-7	1	626	801	72	872	32592258, 758212	Different
139	gb|Z21523|+|0-1974|ARO:3000191|tetQ	1	1708	1974	142	2115	4764923, 2707722, 11583809, 43494081, 43494077, 3922650	Different
140	gb|Z22590|+|154-955|ARO:3001406|OXA-11	1	626	801	8	808	26012357, 758212	Different
