	Path_Bandage	Start_Bandage	End_Bandage	Extracted_Path	Start_GraphAligner	End_GraphAligner	Path_GraphAligner	BandageVSGraphAligner
115	(24) 5151- (884)	24	884	5151	24	884	5151	Full
116	(37) 5967+ (870)	37	870	5967	37	870	5967	Full
117	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
118	(303) 15353- (1118)	303	1118	15353	303	1118	15353	Full
119	(24) 5151- (884)	24	884	5151	24	884	5151	Full
120	(24) 5151- (884)	24	884	5151	24	884	5151	Full
121	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
122	(24) 5151- (884)	24	884	5151	24	884	5151	Full
123	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
124	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
125	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
126	(73) 5967+ (836)	73	836	5967	0	0	0	Different
127	(73) 5967+ (857)	73	857	5967	0	0	0	Different
128	(73) 5967+ (857)	73	857	5967	0	0	0	Different
129	(93) 7593+ (642)	93	642	7593	93	642	7593	Full
130	(1688) 7591+ (2477) , (712) 7593+ (1500)	1688, 712	2477, 1500	7591,7593	1688	2477	7591	Different
131	(712) 7593+ (1500) , (1688) 7591+ (2477)	712, 1688	1500, 2477	7593,7591	712	1500	7593	Different
132	(24) 5151- (884)	24	884	5151	24	884	5151	Full
133	(24) 5151- (884)	24	884	5151	24	884	5151	Full
134	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
135	(24) 5151- (884)	24	884	5151	24	884	5151	Full
136	(24) 5151- (884)	24	884	5151	24	884	5151	Full
137	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
138	(24) 5151- (884)	24	884	5151	24	884	5151	Full
139	(24) 5151- (884)	24	884	5151	24	884	5151	Full
140	(24) 5151- (884)	24	884	5151	24	884	5151	Full
141	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
142	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
143	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
144	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
145	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
146	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
147	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
148	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
149	(24) 5151- (884)	24	884	5151	24	884	5151	Full
150	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
151	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
152	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
153	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
154	(44) 5151- (772)	44	772	5151	0	0	0	Different
155	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
156	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
157	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
158	(88) 7593+ (642)	88	642	7593	88	642	7593	Full
159	(24) 5151- (884)	24	884	5151	24	884	5151	Full
160	(24) 5151- (884)	24	884	5151	24	884	5151	Full
161	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
162	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
163	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
164	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
165	(5627) 32799- (5998)	5627	5998	32799	5627	5998	32799	Full
166	(76) 2645-, 22251- (57) , (76) 2645-, 23479+ (55)	76, 76	57, 55	2645, 22251,2645, 23479	76	891	264522251	Different
167	(3870) 32799- (5627)	3870	5627	32799	3870	5627	32799	Full
168	(1688) 7591+ (2477) , (712) 7593+ (1500)	1688, 712	2477, 1500	7591,7593	1688	2477	7591	Different
169	(209) 77- (868)	209	868	77	209	868	77	Full
170	(24) 5151- (884)	24	884	5151	24	884	5151	Full
171	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
172	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
173	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
174	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
175	(24) 5151- (884)	24	884	5151	24	884	5151	Full
176	(24) 5151- (884)	24	884	5151	24	884	5151	Full
177	(24) 5151- (884)	24	884	5151	24	884	5151	Full
178	(24) 5151- (884)	24	884	5151	24	884	5151	Full
179	(24) 5151- (884)	24	884	5151	24	884	5151	Full
180	(24) 5151- (884)	24	884	5151	24	884	5151	Full
181	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
182	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
183	(56) 7593+ (642)	56	642	7593	56	642	7593	Full
184	(24) 5151- (884)	24	884	5151	24	884	5151	Full
185	(24) 5151- (884)	24	884	5151	24	884	5151	Full
186	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
187	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
188	(712) 7593+ (1498) , (1688) 7591+ (2479)	712, 1688	1498, 2479	7593,7591	712	1498	7593	Different
189	(732) 7593+ (1500) , (1700) 7591+ (2477)	732, 1700	1500, 2477	7593,7591	732	1500	7593	Different
190	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
191	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
192	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
193	(24) 5151- (884)	24	884	5151	24	884	5151	Full
194	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
195	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
196	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
197	(24) 5151- (884)	24	884	5151	24	884	5151	Full
198	(24) 5151- (884)	24	884	5151	24	884	5151	Full
199	(24) 5151- (884)	24	884	5151	24	884	5151	Full
200	(24) 5151- (884)	24	884	5151	24	884	5151	Full
201	(24) 5151- (884)	24	884	5151	24	884	5151	Full
202	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
203	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
204	(24) 5151- (884)	24	884	5151	24	884	5151	Full
205	(24) 5151- (884)	24	884	5151	24	884	5151	Full
206	(124) 7593+ (642)	124	642	7593	124	642	7593	Full
207	(24) 5151- (884)	24	884	5151	24	884	5151	Full
208	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
209	(25) 5151- (884)	25	884	5151	25	884	5151	Full
210	(24) 5151- (884)	24	884	5151	24	884	5151	Full
211	(24) 5151- (884)	24	884	5151	24	884	5151	Full
212	(24) 5151- (884)	24	884	5151	24	884	5151	Full
213	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
214	(24) 5151- (884)	24	884	5151	24	884	5151	Full
215	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
216	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
217	(1688) 7591+ (2479) , (712) 7593+ (1498)	1688, 712	2479, 1498	7591,7593	712	1498	7593	Different
218	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
219	(1688) 7591+ (2479) , (712) 7593+ (1498)	1688, 712	2479, 1498	7591,7593	1688	2479	7591	Different
220	(124) 7593+ (642)	124	642	7593	124	642	7593	Full
221	(24) 5151- (884)	24	884	5151	24	884	5151	Full
222	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
223	(88) 7593+ (642)	88	642	7593	88	642	7593	Full
224	(37) 5967+ (894)	37	894	5967	37	894	5967	Full
225	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
226	(10685) 27823+ (11983)	10685	11983	27823	10685	11989	27823	MatchOnPath
227	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
228	(15310) 655+ (17034)	15310	17034	655	15310	17034	655	Full
229	(15102) 33285- (16757)	15102	16757	33285	15102	16757	33285	Full
230	(9173) 2227- (10297) , (11591) 2851- (12680)	9173, 11591	10297, 12680	2227,2851	9173	10297	2227	Different
231	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
232	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
233	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
234	(24) 5151- (836)	24	836	5151	24	836	5151	Full
235	(24) 5151- (836)	24	836	5151	24	836	5151	Full
236	(24) 5151- (836)	24	836	5151	24	836	5151	Full
237	(24) 5151- (836)	24	836	5151	24	836	5151	Full
238	(24) 5151- (836)	24	836	5151	24	836	5151	Full
239	(196) 117- (957)	196	957	117	196	957	117	Full
240	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
241	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
242	(455) 20533- (1894)	455	1894	20533	455	1894	20533	Full
243	(24) 5151- (884)	24	884	5151	24	884	5151	Full
244	(24) 5151- (884)	24	884	5151	24	884	5151	Full
245	(24) 5151- (884)	24	884	5151	24	884	5151	Full
246	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
247	(24) 5151- (884)	24	884	5151	24	884	5151	Full
248	(37) 5967+ (893)	37	893	5967	37	893	5967	Full
249	(24) 5151- (884)	24	884	5151	24	884	5151	Full
250	(24) 5151- (884)	24	884	5151	24	884	5151	Full
251	(24) 5151- (884)	24	884	5151	24	884	5151	Full
252	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
253	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
254	(24) 5151- (884)	24	884	5151	24	884	5151	Full
255	(24) 5151- (884)	24	884	5151	24	884	5151	Full
256	(24) 5151- (884)	24	884	5151	24	884	5151	Full
257	(24) 5151- (884)	24	884	5151	24	884	5151	Full
258	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
259	(24) 5151- (884)	24	884	5151	24	884	5151	Full
260	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
261	(24) 5151- (884)	24	884	5151	24	884	5151	Full
262	(67) 5967+ (819)	67	819	5967	67	819	5967	Full
263	(391) 28541+ (1230)	391	1230	28541	391	1230	28541	Full
264	(26) 5151- (884)	26	884	5151	26	884	5151	Full
265	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
266	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
267	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
268	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
269	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
270	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
271	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
272	(24) 5151- (884)	24	884	5151	24	884	5151	Full
273	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
274	(24) 5151- (884)	24	884	5151	24	884	5151	Full
275	(24) 5151- (884)	24	884	5151	24	884	5151	Full
276	(88) 7593+ (642)	88	642	7593	88	642	7593	Full
277	(24) 5151- (884)	24	884	5151	24	884	5151	Full
278	(24) 5151- (884)	24	884	5151	24	884	5151	Full
279	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
280	(45) 5967+ (897)	45	897	5967	0	0	0	Different
281	(24) 5151- (881)	24	881	5151	24	881	5151	Full
282	(24) 5151- (879)	24	879	5151	24	879	5151	Full
283	(24) 5151- (881)	24	881	5151	24	881	5151	Full
284	(24) 5151- (881)	24	881	5151	24	881	5151	Full
285	(24) 5151- (881)	24	881	5151	24	881	5151	Full
286	(24) 5151- (881)	24	881	5151	24	881	5151	Full
287	(24) 5151- (881)	24	881	5151	24	881	5151	Full
288	(24) 5151- (881)	24	881	5151	24	881	5151	Full
289	(24) 5151- (879)	24	879	5151	24	879	5151	Full
290	(24) 5151- (884)	24	884	5151	24	884	5151	Full
291	(24) 5151- (884)	24	884	5151	24	884	5151	Full
292	(24) 5151- (881)	24	881	5151	24	881	5151	Full
293	(24) 5151- (881)	24	881	5151	24	881	5151	Full
294	(24) 5151- (884)	24	884	5151	24	884	5151	Full
295	(24) 5151- (884)	24	884	5151	24	884	5151	Full
296	(24) 5151- (881)	24	881	5151	24	881	5151	Full
297	(24) 5151- (879)	24	879	5151	24	879	5151	Full
298	(24) 5151- (881)	24	881	5151	24	881	5151	Full
299	(24) 5151- (884)	24	884	5151	24	884	5151	Full
300	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
301	(24) 5151- (884)	24	884	5151	24	884	5151	Full
302	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
303	(7594) 32799+ (9600)	7594	9600	32799	7594	9600	32799	Full
304	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
305	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
306	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
307	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
308	(37) 5967+ (894)	37	894	5967	37	894	5967	Full
309	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
310	(24) 5151- (884)	24	884	5151	24	884	5151	Full
311	(24) 5151- (884)	24	884	5151	24	884	5151	Full
312	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
313	(37) 5967+ (894)	37	894	5967	37	894	5967	Full
314	(24) 5151- (884)	24	884	5151	24	884	5151	Full
315	(24) 5151- (884)	24	884	5151	24	884	5151	Full
316	(73) 27465+ (546)	73	546	27465	73	546	27465	Full
317	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
318	(24) 5151- (884)	24	884	5151	24	884	5151	Full
319	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
320	(24) 5151- (884)	24	884	5151	24	884	5151	Full
321	(24) 5151- (884)	24	884	5151	24	884	5151	Full
322	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
323	(24) 5151- (884)	24	884	5151	24	884	5151	Full
324	(24) 5151- (884)	24	884	5151	24	884	5151	Full
325	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
326	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
327	(24) 5151- (884)	24	884	5151	24	884	5151	Full
328	(13889) 1851- (14308)	13889	14308	1851	13889	14308	1851	Full
329	(13889) 1851- (14308)	13889	14308	1851	13889	14308	1851	Full
330	(24) 5151- (884)	24	884	5151	24	884	5151	Full
331	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
332	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
333	(18) 5151- (884)	18	884	5151	18	884	5151	Full
334	(18) 5151- (884)	18	884	5151	18	884	5151	Full
335	(24) 5151- (884)	24	884	5151	24	884	5151	Full
336	(1560) 7593+ (2384)	1560	2384	7593	1560	2384	7593	Full
337	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
338	(367) 5965+, 5967+ (997)	367	997	5965, 5967	0	0	0	Different
339	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
340	(24) 5151- (884)	24	884	5151	24	884	5151	Full
341	(6668) 7845+ (7487)	6668	7487	7845	6668	7487	7845	Full
342	(13481) 4579+ (14614)	13481	14614	4579	13481	14614	4579	Full
343	(19427) 7827+ (20104)	19427	20104	7827	19427	20104	7827	Full
344	(23377) 3167- (24345)	23377	24345	3167	23377	24345	3167	Full
345	(1620) 3493- (2786)	1620	2786	3493	1620	2786	3493	Full
346	(24) 5151- (884)	24	884	5151	24	884	5151	Full
347	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
348	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
349	(56) 7593+ (642)	56	642	7593	56	642	7593	Full
350	(24) 5151- (884)	24	884	5151	24	884	5151	Full
351	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
352	(209) 77- (868)	209	868	77	209	868	77	Full
353	(3649) 499+ (4431)	3649	4431	499	3649	4431	499	Full
354	(1427) 499- (2158)	1427	2158	499	1427	2158	499	Full
355	(720) 173+ (1361)	720	1361	173	720	1361	173	Full
356	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
357	(24) 5151- (884)	24	884	5151	24	884	5151	Full
358	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
359	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
360	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
361	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
362	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
363	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
364	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
365	(46) 5967+ (888)	46	888	5967	46	888	5967	Full
366	(24) 5151- (884)	24	884	5151	24	884	5151	Full
367	(24) 5151- (884)	24	884	5151	24	884	5151	Full
368	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
369	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
370	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
371	(54) 5151- (833)	54	833	5151	54	833	5151	Full
372	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
373	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
374	(37) 5967+ (894)	37	894	5967	37	894	5967	Full
375	(37) 5967+ (894)	37	894	5967	37	894	5967	Full
376	(37) 5967+ (894)	37	894	5967	37	894	5967	Full
377	(37) 5967+ (894)	37	894	5967	37	894	5967	Full
