	Query	Start_SPAligner	End_SPAligner	Path_SPAligner	Start_GraphAligner	End_GraphAligner	Path_GraphAligner	SPAlignerVSGraphAligner
42	gb|AF332513|+|103-964|ARO:3000931|TEM-63	1	0	0	37	897	5967.0	Different
43	gb|AF347054|+|208-1069|ARO:3000947|TEM-80	37	897	5967+	37	897	5967.0	Different
44	gb|AF351241|+|89-950|ARO:3000957|TEM-90	37	897	5967+	37	897	5967.0	Different
45	gb|AF427127|+|208-1069|ARO:3000948|TEM-81	37	897	5967+	37	897	5967.0	Different
46	gb|AF427128|+|208-1069|ARO:3000949|TEM-82	37	897	5967+	37	897	5967.0	Different
47	gb|AF427129|+|208-1069|ARO:3000950|TEM-83	37	897	5967+	37	897	5967.0	Different
48	gb|AF427130|+|208-1069|ARO:3000951|TEM-84	37	897	5967+	37	897	5967.0	Different
49	gb|AF445082|+|2788-3343|ARO:3002577|AAC(6')-Ib4	88	642	7593+	88	642	7593.0	Different
50	gb|AF467947|+|0-861|ARO:3001094|SHV-36	1	0	0	24	884	5151.0	Different
51	gb|AF467948|+|0-861|ARO:3001095|SHV-37	1	0	0	24	884	5151.0	Different
52	gb|AF468003|+|0-861|ARO:3000974|TEM-111	37	897	5967+	37	897	5967.0	Different
53	gb|AF495873|+|0-861|ARO:3000964|TEM-101	37	897	5967+	37	897	5967.0	Different
54	gb|AF506748|+|38-899|ARO:3000971|TEM-108	45	897	5967+	45	897	5967.0	Different
55	gb|AF516719|+|214-1075|ARO:3000967|TEM-104	37	897	5967+	37	897	5967.0	Different
56	gb|AF516720|+|214-1075|ARO:3000968|TEM-105	37	897	5967+	37	897	5967.0	Different
57	gb|AF527798.1|+|0-785|ARO:3000879|TEM-7	1	0	0	0	0	0.0	Different
58	gb|AF535127|+|208-1069|ARO:3000978|TEM-115	37	897	5967+	37	897	5967.0	Different
59	gb|AF535128|+|0-861|ARO:3001098|SHV-40	1	0	0	24	884	5151.0	Different
60	gb|AF535129|+|0-861|ARO:3001099|SHV-41	1	0	0	24	884	5151.0	Different
61	gb|AF535130|+|0-861|ARO:3001100|SHV-42	24	884	5151-	24	884	5151.0	Different
62	gb|AF547625|+|0-861|ARO:3001103|SHV-45	24	884	5151-	24	884	5151.0	Different
63	gb|AF550679.1|-|80976-81768|ARO:3002601|aadA	712	1500	7593+	712	1500	7593.0	Different
64	gb|AHLO01000073.1|+|63138-63558|ARO:3004661|Staphylococcus_aureus_FosB	142	561	2925+	142	561	2925.0	Different
65	gb|AJ011428|+|0-861|ARO:3001074|SHV-15	24	884	5151-	24	884	5151.0	Different
66	gb|AJ011502.1|+|300-1425|ARO:3004122|Klebsiella_pneumoniae_OmpK37	1	0	0	5331	6485	4387.0	Different
67	gb|AJ012256|+|208-1069|ARO:3000939|TEM-73	37	897	5967+	37	897	5967.0	Different
68	gb|AJ239002|+|0-861|ARO:3000935|TEM-68	1	0	0	37	897	5967.0	Different
69	gb|AJ277414|+|0-861|ARO:3000952|TEM-85	37	897	5967+	37	897	5967.0	Different
70	gb|AJ277415|+|0-861|ARO:3000953|TEM-86	37	897	5967+	37	897	5967.0	Different
71	gb|AJ308558|+|181-1042|ARO:3000962|TEM-95	1	0	0	37	897	5967.0	Different
72	gb|AJ318093|+|0-861|ARO:3000960|TEM-93	37	897	5967+	37	897	5967.0	Different
73	gb|AJ318094|+|0-861|ARO:3000961|TEM-94	1	0	0	37	897	5967.0	Different
74	gb|AJ437107|+|208-1069|ARO:3000900|TEM-30	37	897	5967+	37	897	5967.0	Different
75	gb|AJ634602.1|-|7839-8700|ARO:3000999|TEM-135	1	0	0	37	897	5967.0	Different
76	gb|AJ746225|+|0-861|ARO:3000993|TEM-129	37	897	5967+	37	897	5967.0	Different
77	gb|AJ809407|+|118-898|ARO:3002620|aadA23	724	1500	7593+	732	1500	7593.0	Different
78	gb|AJ863560|+|0-861|ARO:3001111|SHV-55	24	884	5151-	24	884	5151.0	Different
79	gb|AJ866284|+|0-861|ARO:3001116|SHV-61	24	884	5151-	24	884	5151.0	Different
80	gb|AJ866285|+|0-861|ARO:3001117|SHV-62	24	884	5151-	24	884	5151.0	Different
81	gb|AJ866988|+|0-861|ARO:3000994|TEM-130	1	0	0	37	897	5967.0	Different
82	gb|AJ920369|+|23-860|ARO:3001071|SHV-12	24	860	5151-	24	860	5151.0	Different
83	gb|AL513383|+|161910-162771|ARO:3000873|TEM-1	37	897	5967+	37	897	5967.0	Different
84	gb|AM040708.1|+|1173-1965|ARO:3004704|aadA8b	1688	2479	7591+	1688	2477	7591.0	Different
85	gb|AM049399|+|0-861|ARO:3001007|TEM-144	37	897	5967+	37	897	5967.0	Different
86	gb|AM087453|+|25-856|ARO:3001138|SHV-84	1	0	0	24	854	5151.0	Different
87	gb|AM087454|+|208-1069|ARO:3001015|TEM-148	37	897	5967+	37	897	5967.0	Different
88	gb|AM176546|+|0-861|ARO:3001125|SHV-71	1	0	0	24	884	5151.0	Different
89	gb|AM176547|+|30-891|ARO:3001126|SHV-72	1	0	0	24	884	5151.0	Different
90	gb|AM176548|+|16-874|ARO:3001127|SHV-73	1	0	0	32	884	5151.0	Different
91	gb|AM176549|+|30-891|ARO:3001128|SHV-74	1	0	0	24	884	5151.0	Different
92	gb|AM176550|+|30-891|ARO:3001129|SHV-75	1	0	0	24	884	5151.0	Different
93	gb|AM176551|+|30-891|ARO:3001130|SHV-76	1	0	0	24	884	5151.0	Different
94	gb|AM176552|+|30-891|ARO:3001131|SHV-77	1	0	0	24	884	5151.0	Different
95	gb|AM176553|+|30-891|ARO:3001132|SHV-78	1	0	0	24	884	5151.0	Different
96	gb|AM176554|+|30-891|ARO:3001133|SHV-79	1	0	0	24	884	5151.0	Different
97	gb|AM176555|+|0-861|ARO:3001134|SHV-80	1	0	0	24	884	5151.0	Different
98	gb|AM176556|+|25-886|ARO:3001135|SHV-81	1	0	0	24	884	5151.0	Different
99	gb|AM176557|+|0-861|ARO:3001136|SHV-82	1	0	0	24	884	5151.0	Different
100	gb|AM176558|+|0-861|ARO:3001137|SHV-83	1	0	0	26	884	5151.0	Different
101	gb|AM183304|+|208-1069|ARO:3001017|TEM-150	37	897	5967+	37	897	5967.0	Different
102	gb|AM261837|+|73-865|ARO:3002619|aadA22	712	1500	7593+	712	1500	7593.0	Different
103	gb|AM286274|+|0-861|ARO:3001001|TEM-137	1	0	0	37	897	5967.0	Different
104	gb|AM849805|+|262-1123|ARO:3000886|TEM-15	37	897	5967+	37	897	5967.0	Different
105	gb|AM941159|+|208-1069|ARO:3001022|TEM-156	37	897	5967+	37	897	5967.0	Different
106	gb|AM941844|+|0-861|ARO:3001336|SHV-98	24	884	5151-	24	884	5151.0	Different
107	gb|AM941845|+|0-861|ARO:3001337|SHV-99	24	884	5151-	24	884	5151.0	Different
108	gb|AM941847|+|0-861|ARO:3001155|SHV-106	24	884	5151-	24	884	5151.0	Different
109	gb|AM941848|+|0-861|ARO:3001156|SHV-107	24	884	5151-	24	884	5151.0	Different
110	gb|AM990992.1|-|1001760-1003680|ARO:3000186|tetM	1	0	0	33708	35627	1107.0	Different
111	gb|AP009048|-|4338624-4340268|ARO:3003576|eptA	1	0	0	20664	22307	7505.0	Different
112	gb|AP012030.1|-|395553-396711|ARO:3004612|Escherichia_coli_ampH	1	0	0	38506	39663	33403.0	Different
113	gb|AY027590|+|112-973|ARO:3000955|TEM-88	37	897	5967+	37	897	5967.0	Different
114	gb|AY036620|+|88-949|ARO:3001092|SHV-34	1	0	0	24	884	5151.0	Different
115	gb|AY037778|+|91-952|ARO:3001090|SHV-32	1	0	0	24	884	5151.0	Different
116	gb|AY039040|+|188-1022|ARO:3000956|TEM-89	37	870	5967+	37	870	5967.0	Different
117	gb|AY040093|+|68-929|ARO:3000965|TEM-102	37	897	5967+	37	897	5967.0	Different
118	gb|AY055428.1|-|20268-21084|ARO:3000412|sul2	303	1118	15353-	303	1118	15353.0	Different
119	gb|AY065991|+|6-867|ARO:3001101|SHV-43	24	884	5151-	24	884	5151.0	Different
120	gb|AY070258|+|0-861|ARO:3001093|SHV-35	1	0	0	24	884	5151.0	Different
121	gb|AY072920|+|0-861|ARO:3000973|TEM-110	37	897	5967+	37	897	5967.0	Different
122	gb|AY079099|+|148-1009|ARO:3001096|SHV-38	1	0	0	24	884	5151.0	Different
123	gb|AY092401|+|0-861|ARO:3000963|TEM-96	1	0	0	37	897	5967.0	Different
124	gb|AY101578|+|214-1075|ARO:3000969|TEM-106	37	897	5967+	37	897	5967.0	Different
125	gb|AY101764|+|206-1067|ARO:3000970|TEM-107	37	897	5967+	37	897	5967.0	Different
126	gb|AY130282|+|0-764|ARO:3000980|TEM-117	1	0	0	0	0	0.0	Different
127	gb|AY130284|+|0-785|ARO:3000941|TEM-75	1	0	0	0	0	0.0	Different
128	gb|AY130285|+|0-785|ARO:3000981|TEM-118	1	0	0	0	0	0.0	Different
129	gb|AY136758|+|377-947|ARO:3002582|AAC(6')-Ib11	75	642	7593+	93	642	7593.0	Different
130	gb|AY139603|+|106-898|ARO:3002608|aadA8	1688	2479	7591+	1688	2477	7591.0	Different
131	gb|AY171244|+|46-838|ARO:3002618|aadA21	712	1500	7593+	712	1500	7593.0	Different
132	gb|AY210887|+|111-972|ARO:3001104|SHV-46	24	884	5151-	24	884	5151.0	Different
133	gb|AY223863|+|170-1031|ARO:3001113|SHV-57	24	884	5151-	24	884	5151.0	Different
134	gb|AY243512|+|208-1069|ARO:3000982|TEM-120	37	897	5967+	37	897	5967.0	Different
135	gb|AY259119|+|116-977|ARO:3001102|SHV-44	24	884	5151-	24	884	5151.0	Different
136	gb|AY263404|+|0-861|ARO:3001105|SHV-48	24	884	5151-	24	884	5151.0	Different
137	gb|AY271267|+|0-861|ARO:3000983|TEM-121	37	897	5967+	37	897	5967.0	Different
138	gb|AY277255|+|66-927|ARO:3001089|SHV-31	1	0	0	24	884	5151.0	Different
139	gb|AY288915|+|0-861|ARO:3001107|SHV-50	24	884	5151-	24	884	5151.0	Different
140	gb|AY289548|+|0-861|ARO:3001108|SHV-51	24	884	5151-	24	884	5151.0	Different
141	gb|AY307100|+|0-861|ARO:3000984|TEM-122	37	897	5967+	37	897	5967.0	Different
142	gb|AY327539|+|0-858|ARO:3000985|TEM-123	37	897	5967+	37	897	5967.0	Different
143	gb|AY327540|+|0-858|ARO:3000986|TEM-124	37	897	5967+	37	897	5967.0	Different
144	gb|AY368236|+|0-861|ARO:3000989|TEM-127	37	897	5967+	37	897	5967.0	Different
145	gb|AY368237|+|0-861|ARO:3000990|TEM-128	37	897	5967+	37	897	5967.0	Different
146	gb|AY436361|+|131-992|ARO:3000995|TEM-131	1	0	0	37	897	5967.0	Different
147	gb|AY491682|+|0-861|ARO:3000996|TEM-132	1	0	0	37	897	5967.0	Different
148	gb|AY528425|+|0-861|ARO:3000997|TEM-133	1	0	0	37	897	5967.0	Different
149	gb|AY528718|+|413-1274|ARO:3001106|SHV-49	24	884	5151-	24	884	5151.0	Different
150	gb|AY574271|+|0-861|ARO:3000998|TEM-134	1	0	0	37	897	5967.0	Different
151	gb|AY589493|+|166-1027|ARO:3000975|TEM-112	37	897	5967+	37	897	5967.0	Different
152	gb|AY589494|+|193-1054|ARO:3000976|TEM-113	37	897	5967+	37	897	5967.0	Different
153	gb|AY589495|+|181-1042|ARO:3000977|TEM-114	37	897	5967+	37	897	5967.0	Different
154	gb|AY590467|+|0-729|ARO:3001110|SHV-53	1	0	0	0	0	0.0	Different
155	gb|AY628175|+|210-1071|ARO:3000972|TEM-109	37	897	5967+	37	897	5967.0	Different
156	gb|AY628176|+|75-936|ARO:3000987|TEM-125	37	897	5967+	37	897	5967.0	Different
157	gb|AY628199|+|203-1064|ARO:3000988|TEM-126	37	897	5967+	37	897	5967.0	Different
158	gb|AY660529.1|+|121-676|ARO:3003676|AAC(6')-Ib'	88	642	7593+	88	642	7593.0	Different
159	gb|AY661885|+|48-909|ARO:3001088|SHV-30	1	0	0	24	884	5151.0	Different
160	gb|AY790341|+|0-861|ARO:3001114|SHV-59	24	884	5151-	24	884	5151.0	Different
161	gb|AY826417|+|0-861|ARO:3001000|TEM-136	1	0	0	37	897	5967.0	Different
162	gb|AY853593|+|214-1075|ARO:3001002|TEM-138	1	0	0	37	897	5967.0	Different
163	gb|AY874537|+|177-1038|ARO:3000883|TEM-11	37	897	5967+	37	897	5967.0	Different
164	gb|AY956335|+|38-899|ARO:3001004|TEM-141	1	0	0	37	897	5967.0	Different
165	gb|BA000018.3|+|48893-49265|ARO:3000124|mecI	1	0	0	5627	5998	32799.0	Different
166	gb|BX664015.1|-|103017-103833|ARO:3002641|APH(3')-Ia	76	57	2645-,22251-	76	891	264522251.0	Different
167	gb|CP000703.1|+|40848-42606|ARO:3000215|mecR1	1	0	0	3870	5627	32799.0	Different
168	gb|CP003022|+|336788-337580|ARO:3003197|aadA25	1688	2479	7591+	1688	2477	7591.0	Different
169	gb|D16171|+|382-1042|ARO:3002689|plasmid-encoded_cat_(pp-cat)	209	868	77-	209	868	77.0	Different
170	gb|DQ013287|+|0-861|ARO:3001124|SHV-70	1	0	0	24	884	5151.0	Different
171	gb|DQ072853|+|0-861|ARO:3001003|TEM-139	1	0	0	37	897	5967.0	Different
172	gb|DQ075245|+|217-1078|ARO:3001006|TEM-143	37	897	5967+	37	897	5967.0	Different
173	gb|DQ105528|+|0-861|ARO:3001012|TEM-145	37	897	5967+	37	897	5967.0	Different
174	gb|DQ105529|+|0-861|ARO:3001013|TEM-146	37	897	5967+	37	897	5967.0	Different
175	gb|DQ174304|+|4-865|ARO:3001119|SHV-64	24	884	5151-	24	884	5151.0	Different
176	gb|DQ174305|+|4-865|ARO:3001120|SHV-65	24	884	5151-	24	884	5151.0	Different
177	gb|DQ174306|+|4-865|ARO:3001121|SHV-66	24	884	5151-	24	884	5151.0	Different
178	gb|DQ174307|+|4-865|ARO:3001122|SHV-67	1	0	0	24	884	5151.0	Different
179	gb|DQ174308|+|4-865|ARO:3001123|SHV-69	1	0	0	24	884	5151.0	Different
180	gb|DQ193536|+|0-861|ARO:3001141|SHV-89	1	0	0	24	884	5151.0	Different
181	gb|DQ279850|+|0-861|ARO:3001014|TEM-147	37	897	5967+	37	897	5967.0	Different
182	gb|DQ286729|+|0-861|ARO:3000924|TEM-55	1	0	0	37	897	5967.0	Different
183	gb|DQ303918|+|0-600|ARO:3002547|AAC(6')-Ib-cr	47	642	7593+	56	642	7593.0	Different
184	gb|DQ322460|+|15-876|ARO:3001139|SHV-85	1	0	0	24	884	5151.0	Different
185	gb|DQ328802|+|0-861|ARO:3001140|SHV-86	1	0	0	24	884	5151.0	Different
186	gb|DQ369751|+|0-861|ARO:3001016|TEM-149	37	897	5967+	37	897	5967.0	Different
187	gb|DQ388882|+|0-861|ARO:3001005|TEM-142	37	897	5967+	37	897	5967.0	Different
188	gb|DQ393783|+|1799-2591|ARO:3002615|aadA15	712	1499	7593+	712	1498	7593.0	Different
189	gb|DQ677333|+|0-780|ARO:3002621|aadA24	724	1500	7593+	732	1500	7593.0	Different
190	gb|DQ679961|+|114-975|ARO:3001021|TEM-155	37	897	5967+	37	897	5967.0	Different
191	gb|DQ834728|+|205-1066|ARO:3001019|TEM-152	37	897	5967+	37	897	5967.0	Different
192	gb|DQ834729|+|205-1066|ARO:3001018|TEM-151	37	897	5967+	37	897	5967.0	Different
193	gb|DQ836922|+|0-861|ARO:3001144|SHV-92	1	0	0	24	884	5151.0	Different
194	gb|DQ909059|+|0-861|ARO:3001023|TEM-157	37	897	5967+	37	897	5967.0	Different
195	gb|EF136376|+|0-861|ARO:3001025|TEM-159	37	897	5967+	37	897	5967.0	Different
196	gb|EF136377|+|0-861|ARO:3001026|TEM-160	37	897	5967+	37	897	5967.0	Different
197	gb|EF373969|+|0-861|ARO:3001145|SHV-93	1	0	0	24	884	5151.0	Different
198	gb|EF373970|+|0-861|ARO:3001146|SHV-94	1	0	0	24	884	5151.0	Different
199	gb|EF373971|+|0-861|ARO:3001148|SHV-96	24	884	5151-	24	884	5151.0	Different
200	gb|EF373972|+|0-861|ARO:3001147|SHV-95	24	884	5151-	24	884	5151.0	Different
201	gb|EF373973|+|0-861|ARO:3001149|SHV-97	24	884	5151-	24	884	5151.0	Different
202	gb|EF468463|+|66-927|ARO:3001028|TEM-162	37	897	5967+	37	897	5967.0	Different
203	gb|EF534736|+|213-1074|ARO:3001024|TEM-158	37	897	5967+	37	897	5967.0	Different
204	gb|EU024485|+|0-861|ARO:3001151|SHV-102	24	884	5151-	24	884	5151.0	Different
205	gb|EU032604|+|0-861|ARO:3001152|SHV-103	24	884	5151-	24	884	5151.0	Different
206	gb|EU085533|+|0-519|ARO:3002591|AAC(6')-Ib-Suzhou	124	642	7593+	124	642	7593.0	Different
207	gb|EU155018|+|0-861|ARO:3001150|SHV-101	24	884	5151-	24	884	5151.0	Different
208	gb|EU274580|+|214-1075|ARO:3001030|TEM-164	37	897	5967+	37	897	5967.0	Different
209	gb|EU274581|+|0-861|ARO:3001153|SHV-104	25	884	5151-	25	884	5151.0	Different
210	gb|EU342351|+|172-1033|ARO:3001118|SHV-63	24	884	5151-	24	884	5151.0	Different
211	gb|EU418913|+|16-877|ARO:3001158|SHV-109	24	884	5151-	24	884	5151.0	Different
212	gb|EU586041|+|0-861|ARO:3001112|SHV-56	24	884	5151-	24	884	5151.0	Different
213	gb|EU815939|+|0-861|ARO:3001029|TEM-163	37	897	5967+	37	897	5967.0	Different
214	gb|FJ194944|+|46-907|ARO:3001154|SHV-105	24	884	5151-	24	884	5151.0	Different
215	gb|FJ197316|+|0-861|ARO:3001032|TEM-166	37	897	5967+	37	897	5967.0	Different
216	gb|FJ360884|+|213-1074|ARO:3001033|TEM-167	37	897	5967+	37	897	5967.0	Different
217	gb|FJ381668|+|56-848|ARO:3002612|aadA12	1688	2479	7591+	712	1498	7593.0	Different
218	gb|FJ405211|+|0-861|ARO:3000926|TEM-57	1	0	0	37	897	5967.0	Different
219	gb|FJ460181|+|1790-2582|ARO:3002617|aadA17	1688	2479	7591+	1688	2479	7591.0	Different
220	gb|FJ503047|+|0-519|ARO:3002592|AAC(6')-Ib-Hangzhou	124	642	7593+	124	642	7593.0	Different
221	gb|FJ668814|+|76-937|ARO:3001059|SHV-1	24	884	5151-	24	884	5151.0	Different
222	gb|FJ807656|+|0-861|ARO:3001020|TEM-154	37	897	5967+	37	897	5967.0	Different
223	gb|FJ854362|+|1702-2257|ARO:3002576|AAC(6')-Ib3	88	642	7593+	88	642	7593.0	Different
224	gb|FJ873740|+|0-858|ARO:3001035|TEM-169	37	894	5967+	37	894	5967.0	Different
225	gb|FJ919776|+|208-1069|ARO:3001034|TEM-168	37	897	5967+	37	897	5967.0	Different
226	gb|FN649414.1|+|2765050-2766355|ARO:3004611|Escherichia_coli_ampC1_beta-lactamase	1	0	0	10685	11989	27823.0	Different
227	gb|FN652295|+|0-861|ARO:3001042|TEM-177	37	897	5967+	37	897	5967.0	Different
228	gb|FO203501.1|+|5123640-5125365|ARO:3005047|eptB	1	0	0	15310	17034	655.0	Different
229	gb|FO834906.1|+|304977-306633|ARO:3005053|ArnT	15102	16757	33285-	15102	16757	33285.0	Different
230	gb|FO834906.1|-|2173974-2175099|ARO:3005044|OmpA	1	0	0	9173	10297	2227.0	Different
231	gb|FR717535|+|0-861|ARO:3000910|TEM-40	1	0	0	37	897	5967.0	Different
232	gb|FR848831|+|0-861|ARO:3001375|TEM-184	37	897	5967+	37	897	5967.0	Different
233	gb|GQ149347|+|5269-6130|ARO:3001037|TEM-171	37	897	5967+	37	897	5967.0	Different
234	gb|GQ390805|+|0-813|ARO:3001170|SHV-123	24	836	5151-	24	836	5151.0	Different
235	gb|GQ390806|+|0-813|ARO:3001171|SHV-124	24	836	5151-	24	836	5151.0	Different
236	gb|GQ390807|+|0-813|ARO:3001172|SHV-125	24	836	5151-	24	836	5151.0	Different
237	gb|GQ390808|+|0-813|ARO:3001173|SHV-126	24	836	5151-	24	836	5151.0	Different
238	gb|GQ390809|+|0-813|ARO:3001174|SHV-127	24	836	5151-	24	836	5151.0	Different
239	gb|GQ900432.1|-|26737-27499|ARO:3003905|ANT(4')-Ib	196	957	117-	196	957	117.0	Different
240	gb|GU371926|-|50304-51165|ARO:3000903|TEM-33	37	897	5967+	37	897	5967.0	Different
241	gb|GU550123|+|144-1005|ARO:3001041|TEM-176	37	897	5967+	37	897	5967.0	Different
242	gb|GU565967.1|-|24979-26419|ARO:3002597|AAC(6')-Ie-APH(2'')-Ia	455	1894	20533-	455	1894	20533.0	Different
243	gb|GU827715|+|0-861|ARO:3001176|SHV-129	24	884	5151-	24	884	5151.0	Different
244	gb|GU932590|+|0-861|ARO:3001175|SHV-128	24	884	5151-	24	884	5151.0	Different
245	gb|HE981194|+|0-861|ARO:3001347|SHV-164	24	884	5151-	24	884	5151.0	Different
246	gb|HG934763|+|0-861|ARO:3001394|TEM-217	37	897	5967+	37	897	5967.0	Different
247	gb|HG934764|+|0-864|ARO:3001351|SHV-183	24	884	5151-	24	884	5151.0	Different
248	gb|HM246246|+|211-1069|ARO:3001047|TEM-187	1	0	0	37	893	5967.0	Different
249	gb|HM559945|+|0-861|ARO:3001178|SHV-134	24	884	5151-	24	884	5151.0	Different
250	gb|HM751100|+|0-861|ARO:3001157|SHV-108	24	884	5151-	24	884	5151.0	Different
251	gb|HM751103.1|+|0-864|ARO:3001169|SHV-122	24	884	5151-	24	884	5151.0	Different
252	gb|HQ317449|+|0-861|ARO:3001373|TEM-182	37	897	5967+	37	897	5967.0	Different
253	gb|HQ529916|+|110-971|ARO:3001045|TEM-183	37	897	5967+	37	897	5967.0	Different
254	gb|HQ637576|+|0-861|ARO:3001179|SHV-135	1	0	0	24	884	5151.0	Different
255	gb|HQ661362|+|71-932|ARO:3001168|SHV-121	24	884	5151-	24	884	5151.0	Different
256	gb|HQ661363|+|71-932|ARO:3001181|SHV-137	1	0	0	24	884	5151.0	Different
257	gb|HQ845196|+|0-861|ARO:3001109|SHV-52	24	884	5151-	24	884	5151.0	Different
258	gb|HQ877606|+|0-861|ARO:3001056|TEM-197	1	0	0	37	897	5967.0	Different
259	gb|HQ877615|+|0-861|ARO:3001159|SHV-110	24	884	5151-	24	884	5151.0	Different
260	gb|JF795538|+|0-861|ARO:3001374|TEM-185	1	0	0	37	897	5967.0	Different
261	gb|JF812965|+|0-861|ARO:3001167|SHV-120	24	884	5151-	24	884	5151.0	Different
262	gb|JF949915|+|0-754|ARO:3001052|TEM-192	1	0	0	67	819	5967.0	Different
263	gb|JF969163|+|1053-1893|ARO:3000410|sul1	391	1230	28541+	391	1230	28541.0	Different
264	gb|JN051143|+|0-861|ARO:3001182|SHV-140	1	0	0	26	884	5151.0	Different
265	gb|JN211012|+|213-1074|ARO:3001048|TEM-188	1	0	0	37	897	5967.0	Different
266	gb|JN227084|+|308-1169|ARO:3001046|TEM-186	1	0	0	37	897	5967.0	Different
267	gb|JN254627|+|0-861|ARO:3001049|TEM-189	1	0	0	37	897	5967.0	Different
268	gb|JN416112|+|0-861|ARO:3001050|TEM-190	1	0	0	37	897	5967.0	Different
269	gb|JN935135|+|0-861|ARO:3001053|TEM-193	1	0	0	37	897	5967.0	Different
270	gb|JN935136|+|0-861|ARO:3001054|TEM-194	1	0	0	37	897	5967.0	Different
271	gb|JN935137|+|0-861|ARO:3001055|TEM-195	1	0	0	37	897	5967.0	Different
